"TimeStep","ConnectedComponentId","CriticalType","Points:0","Points:1","Points:2"
0,83,3,0.18191,-0.033729,2.1911
1,83,3,0.15497,-0.060707,2.1926
0,84,3,-0.34225,-1.9371,0.98262
1,84,3,-0.35304,-1.929,0.99467
2,84,3,-0.35304,-1.929,0.99467
0,85,3,0.57526,0.90955,-1.9175
1,85,3,0.58864,0.89725,-1.9193
0,86,3,-0.458,-0.28924,2.1311
1,86,3,-0.40556,-0.28924,2.1417
0,87,3,-0.94289,-0.61891,1.8876
1,87,3,-0.93129,-0.61891,1.8934
2,87,3,-0.91628,-0.64476,1.8921
0,88,3,1.4786,-0.38257,-1.5819
1,88,3,1.4883,-0.38257,-1.5728
2,88,3,1.4786,-0.38257,-1.5819
0,89,3,0.23781,1.5211,-1.57
1,89,3,0.24889,1.5113,-1.5777
2,89,3,0.26823,1.5113,-1.5745
0,90,3,-0.86424,1.9992,0.30261
1,90,3,-0.85267,2.0061,0.28924
2,90,3,-0.85267,2.0061,0.28924
0,91,3,0.08583,-0.44881,2.1509
1,91,3,0.059272,-0.4752,2.1461
2,91,3,0.072537,-0.46201,2.1486
0,92,3,0.03325,-0.36928,2.1674
1,92,3,0.073061,-0.38257,2.1641
2,92,3,0.11288,-0.38257,2.1624
0,93,3,-0.69244,-1.3045,1.6291
1,93,3,-0.72554,-1.3261,1.597
2,93,3,-0.73532,-1.3261,1.5925
0,94,3,0.22699,1.7951,-1.2495
1,94,3,0.23597,1.7783,-1.2717
2,94,3,0.23597,1.7783,-1.2717
0,95,3,-1.7627,0.90955,0.94913
1,95,3,-1.7627,0.90955,0.94913
0,96,3,-0.85307,-0.46201,1.9733
1,96,3,-0.85307,-0.46201,1.9733
0,97,3,-0.91557,1.3261,1.4961
1,97,3,-0.92042,1.3368,1.4835
0,98,3,-0.61192,1.4106,1.572
1,98,3,-0.60226,1.4106,1.5757
0,99,3,0.22853,1.6448,-1.4414
1,99,3,0.24603,1.6243,-1.4616
2,99,3,0.26449,1.6122,-1.4717
0,100,3,-1.9208,1.0067,-0.36372
1,100,3,-1.9251,1.0067,-0.34013
