"TimeStep","ConnectedComponentId","CriticalType","Points:0","Points:1","Points:2"
1,35,3,1.2374,1.8155,-0.087676
2,35,3,1.2374,1.8155,-0.087676
2,35,3,1.2374,1.8155,-0.087676
3,35,3,1.2374,1.8155,-0.087676
3,35,3,1.2259,1.8226,-0.10116
4,35,3,1.2259,1.8226,-0.10116
4,35,3,1.2259,1.8226,-0.10116
0,36,3,0.60356,0.19538,2.1054
0,36,3,0.60356,0.19538,2.1054
1,36,3,0.60356,0.19538,2.1054
1,36,3,0.61611,0.20882,2.1005
2,36,3,0.61611,0.20882,2.1005
2,36,3,0.61611,0.20882,2.1005
3,36,3,0.61611,0.20882,2.1005
3,36,3,0.70219,0.30261,2.0617
4,36,3,0.70219,0.30261,2.0617
4,36,3,0.70219,0.30261,2.0617
0,37,3,-1.3217,1.7262,-0.32932
0,37,3,-1.3217,1.7262,-0.32932
1,37,3,-1.3217,1.7262,-0.32932
1,37,3,-1.3229,1.7278,-0.31597
2,37,3,-1.3229,1.7278,-0.31597
2,37,3,-1.3229,1.7278,-0.31597
3,37,3,-1.3229,1.7278,-0.31597
3,37,3,-1.3135,1.7374,-0.30261
4,37,3,-1.3135,1.7374,-0.30261
4,37,3,-1.3135,1.7374,-0.30261
0,38,3,1.9423,1.0306,-0.020238
0,38,3,1.9423,1.0306,-0.020238
1,38,3,1.9423,1.0306,-0.020238
1,38,3,1.923,1.0507,0.18194
2,38,3,1.923,1.0507,0.18194
2,38,3,1.923,1.0507,0.18194
3,38,3,1.923,1.0507,0.18194
3,38,3,1.9165,1.0625,0.18194
4,38,3,1.9165,1.0625,0.18194
4,38,3,1.9165,1.0625,0.18194
0,39,3,-0.016723,1.8169,1.2384
0,39,3,-0.016723,1.8169,1.2384
1,39,3,-0.016723,1.8169,1.2384
1,39,3,0.094724,1.8145,1.2384
2,39,3,0.094724,1.8145,1.2384
2,39,3,0.094724,1.8145,1.2384
3,39,3,0.094724,1.8145,1.2384
3,39,3,-0.027754,1.8091,1.2495
4,39,3,-0.027754,1.8091,1.2495
4,39,3,-0.027754,1.8091,1.2495
0,40,3,-0.62285,1.4916,1.4907
0,40,3,-0.62285,1.4916,1.4907
1,40,3,-0.62285,1.4916,1.4907
1,40,3,-0.63332,1.4616,1.5158
2,40,3,-0.63332,1.4616,1.5158
2,40,3,-0.63332,1.4616,1.5158
3,40,3,-0.63332,1.4616,1.5158
3,40,3,-0.64261,1.4616,1.5119
